ID,,Motivation,Confidence,Problem Interpretation,Preference,Issues,Q#,,
,,I,,,C,,8a,I just tried to get the orange dot as closely as I can to the end points of A and B. ,
,,I,,,S,,8b,I chose this strategy because it was nearly impossible to go up to C so I wanted achieve the maximum for A and B. ,
,,,,,C,,9a,I tried to get the orange ball and high and close to the end points of A and B.,
,,I,,,,,9b,I chose this Strategy because it seemed like that was the right thing to do,
240148,b,I,,O,C,,1a,I was thinking of just doing just enough so that the town will have economic benefits without polluting the lake too much.,
,,I,S,O,C,,1b,"I used this strategy because as long as the town is thriving, there is no need to be greedy and adding more pollution to the lake.",
,,,S,O,C,,2a,My strategy is the same as last time. Go for the middle.,
,,I,S,O,C,,2b,I always go about half of the benefits because that will cause about half of the pollution.,
,,,S,,,,3a,"I decided to have a bit more than half of waste per year being let out the first 2 periods then in the last period, ill release less than half.",
,,I,S,O,C,,3b,"I use this strategy because it's important to start a good foundation for the economic benefit of the town then when it's established, we can lower the waste release because the town can survive from the well established economy.",
,,,S,,,,4a,I decided to release waste at 0.025 per year.,
,,I,S,,T,,4b,"I used this strategy because that is where the equilibrium of water quality and economic benefit will be. At .02, the water quality is high but the economic benefit wasn't that high. at .03, the water quality dropped drastically for only a small increase in economic benefit so that's why I chose to release waste at 0.025",
,,I,S,,T,,5a,"I compared the examples and found the middle ground and decided whether the economic benefit was worth the degradation of the quality of water. I made the first period have more waste than the second period. After .5 waste per year in the second period, the water quality drops really fast so I believe that have less than .5 waste per year for the second period is the break-even point between economic benefit and water quality.",
,,I,S,,T,,5b,I used this strategy because a small increase in the economic benefit is not worth the big drop in water quality.,
,,,S,,,,6a,I kept the waste below .5 at all three periods.,
,,I,S,,T,,6b,"In all three periods, if the waste produced is at .5 or above, the water quality drops and that trade off is not optimal.",
,,,S,,,,7a,I decided to produce waste at a lower rate than the equilibrium ,
,,I,,,,,7b,I used this strategy because I do not know how much natural waste is being produced so I should keep the artificial waste production to a minimum.,
,,,S,,,,8a,I kept the waste production low. First period was at .01 and the second period was at .02,
,,I,,,,,8b,I used this strategy because the natural waste production is unknown so I do not want to risk making the lake permanently unenjoyable.,
,,I,S,,C,,9a,I chose an amount of waste production that allowed the water quality to stay high but also earn a reasonable amount of economic benefit.,
,,I,S,,C,,9b,I used this strategy because I want to keep the water quality high but I still want to prevent a low economic benefit.,
240149,b,I,,,,,1a,"I was trying to maximize economic benefit, so I followed the linear pattern of more waste = more economic gain.",
,,I,S,,,,1b,"The only thing I had to care about in this one was the economic benefits, so I chose to maximize waste, which in turn maximized economic benefit.",
,,P,S,,,,2a,"My measure of success was once again only quantified in terms of economic benefit, so I sought to maximize that.",
,,P,S,,,,2b,"If the goal was only to maximize economic gain, there was no reason to worry about environmental damage, so I maxed out both wastes to create as much profit as possible.",
,,I,S,,,,3a,I am once again acting solely to create as much economic benefit as possible.,
,,P,,,,,3b,"The only mention of a goal in this section is economic benefit, so I wanted to maximize output for the factory.",
,,I,,,,,4a,I am trying to minimize the decrease in either water quality or economic gain if the slider were changed.,
,,I,,,T,,4b,"There was a large drop off in water quality from .2 to .3, whereas there was not as much of a drop off in economic gain so I sought to find the true middle ground.",
,,I,,,T,,5a,"Trying to keep both as high as possible while keeping comparative advantages of each at a minimum. Trying to avoid if one was raised any higher, the other would fall by too much. ",
,,I,,,C,,5b,"It seemed that at a certain point based on the info, that the .7 49-99yr plan lowered the water quality by too much, so I stuck with the .5 in that regard, but chose to increase slightly the waste from the previous example, as it looked like economic benefit could increase without harming the lake too much more.",
,,I,S,,C,,6a,I'm sticking with about .025 as the amount that maximizes both water quality and economic output without harming the other too drastically. ,
,,I,,,T,,6b,"The examples so far have given me evidence to believe that .05 is much too risky, and .02 is not risky enough to give maximum outputs to each. Additionally, between .02 and .03 seems to be the largest drop off for water quality, so cutting that in half may be the best way.",
,,I,C,,C,,7a,"Trying to maximize all three variables without harming another too much. The examples were hard to read as the point was all over, so I sort of had to ballpark what information I thought it was attempting to show me",
,,I,C,,C,,7b,"I went with my gut on this one, after viewing a few examples hoping to find a stable middle ground for all three, even though the yellow point was kind of all over the graph which made it difficult to understand",
,,,,,,,8a,"I saw the dot format was different, the yellow one was unimportant and I could use the gray ones to figure out where each coordinate the plan would fall into for two variables at a time. ",
,,,,,C,,8b,I chose to ballpark where the gray dot would be most moderate for each of the three 2-axis graphs.,
,,I,,,C,,9a,Again hoping to find a fair middle ground for all three variables that didn't lower any one specifically.,
,,I,,,C,,9b,"It seemed smart to lowball my estimate of how much waste could be released given the variable nature of natural waste. I stuck near my gut estimate of .025-.03 for each year, allowing more in one section just to be fair to the factory.",
240151,c,I,,,,,1a,"I was trying to maximize the amount of ""A"" that was generated.",
,,P,,,,,1b,The instructions stated that a higher A was the desirable goal.,
,,I,,,,,2a,"Again, I was trying to maximize the level of A.",
,,,S,,,,2b,A was at its highest point when both sliders were switched to 10.,
,,I,,,,,3a,I was trying to  maximize the level of A that was reached over the three periods.,
,,I,S,,,,3b,"A was at its highest when all three sliders were switched to 10. The use of the sliders were unrestricted and had no cost, therefore it did not seem unreasonable to maximize the level of all three to level 10.",
,,I,,,C,,4a,I was trying to maximize both A and B without making one substantially worse.,
,,I,S,,T,,4b,"I noticed that there is a substantial jump between notch 2 and 3 on the slider. B levels at from 3 on. After 3, A gets higher but B levels out at an extremely low level. Notch 2 is the only place where B is not loosing a lot with at least a little upside for A. ",
,,I,,,C,,5a,I was trying to maximize both A and B without making one substantially worse.,
,,I,S,,T,,5b,"I noticed that there is a substantial jump between notch 2 and 3 on the slider. B levels at from 3 on. After 3, A gets higher but B levels out at an extremely low level. Notch 2 is the only place where B is not loosing a lot with at least a little upside for A. ",
